of,and,of the,for,in the,
35.673218,96.121681,9.748066,8.519757,7.709596,
48.311100,78.570554,18.694162,11.810060,7.128870,
43.194784,60.146699,20.008150,13.773431,7.090465,
69.406865,68.373210,27.027027,11.187791,5.837108,
35.131036,59.892067,11.181263,9.452929,6.243166,
60.948440,80.521961,22.013579,8.964566,5.357522,
50.300538,80.196140,15.554150,6.274386,5.167141,
34.188034,74.203574,10.489510,8.935509,5.439005,
35.972372,78.452509,12.935681,9.462211,4.192119,
41.701053,75.392009,10.583038,8.738288,3.980776,
41.849592,77.085353,13.641029,9.307828,5.316723,
50.371558,76.890573,16.625382,8.247122,7.198018,
75.227105,99.484410,21.949423,12.079548,4.517555,
58.115002,78.982700,21.136215,11.009245,9.359776,
86.290323,74.462366,27.284946,9.677419,5.376344,
66.793893,76.240458,18.606870,9.160305,6.870229,
37.300178,67.140320,16.518650,11.012433,7.104796,
29.727042,47.795337,10.222124,10.608907,4.696652,
32.329858,37.811878,9.909804,17.430011,7.285932,
40.364410,35.909030,14.563107,10.174225,7.514297,
32.084603,43.914680,6.990500,16.131923,5.018821,
45.899172,28.592927,9.781791,7.148232,5.267118,
41.119931,57.535504,13.013662,14.174631,5.696852,
48.623810,55.328926,15.707788,12.167675,8.111783,
39.284667,31.955438,14.365289,13.485781,10.847259,
43.374534,61.572041,16.903124,8.629223,8.147001,
42.058088,75.325347,17.754029,8.273722,5.946738,
33.822961,51.797449,7.537688,15.268651,7.730963,
39.350713,68.863748,14.756517,20.167241,5.410723,
46.963947,57.637571,12.571157,12.808349,8.538899,
61.285501,41.853513,14.947683,8.968610,16.442451,
26.515152,64.393939,15.151515,14.393939,3.787879,
52.664975,51.395939,16.180203,14.911168,7.614213,
41.277259,57.632399,12.461059,10.903427,9.345794,
33.898305,54.237288,14.237288,14.237288,6.101695,
47.000618,44.526902,18.552876,13.605442,11.750155,
62.831858,66.371681,21.238938,6.194690,12.389381,
49.200683,69.067205,16.296756,10.554090,8.225982,
40.426727,57.832678,11.229646,13.475576,2.807412,
28.373586,65.529471,8.444520,11.273434,4.348928,
25.583542,84.794936,7.714625,9.428986,4.681524,
30.301862,73.634296,7.286326,10.370485,5.011758,
24.824552,48.235048,7.122656,8.746203,3.613701,
32.747670,72.218098,11.259589,8.207539,5.031758,
39.588198,27.276587,10.825727,23.137338,3.926979,
33.713803,30.331854,9.723103,18.917776,5.072923,
38.417148,26.875515,7.914262,23.577906,5.441055,
37.289235,24.319066,13.294423,16.861219,4.863813,
52.614163,41.363336,14.890801,12.243547,10.919921,
41.685754,40.311498,8.703619,17.407238,13.284471,
46.488125,46.488125,15.159171,14.653866,8.590197,
37.561241,46.815460,7.621121,23.407730,7.076756,
40.117417,46.966732,10.763209,15.655577,3.913894,
34.759358,45.454545,7.575758,18.270945,6.684492,
42.617047,42.016807,9.003601,14.405762,1.800720,
34.598214,41.294643,5.580357,12.276786,2.232143,
25.581395,30.232558,4.651163,16.279070,11.627907,
46.831956,36.827606,11.889227,23.778454,3.044802,
39.930556,53.385417,11.718750,12.152778,2.170139,
47.272727,28.686869,8.484848,19.393939,5.656566,
44.430135,42.498390,11.590470,13.522215,8.370895,
32.591415,47.694754,7.154213,10.731320,5.166932,
20.134228,46.979866,3.355705,13.422819,13.422819,
23.809524,37.414966,13.605442,6.802721,6.802721,
50.986842,41.118421,9.868421,13.157895,8.223684,
47.853272,97.874114,19.924969,8.003335,4.585244,
